Vuln,test #,detect,patch,time,,,2 iters test****,detect,patch,time,avg,,<- This trial is included in the paper,,,,,,,Vote Times,,Max/Min
bug_oob_array_access,1,y,n,crash,,,,y,n,3.41,,,,,,,,,,10564566,,
,2,y,n,3.81,,,,y,n,3.46,,,,,,,,,,10404719,,12677912
,3,y,n,3.95,,,,y,n,3.42,,,,,,,,,,9308620,,5857384
,4,y,n,3.86,,,,y,n,3.45,,,,,,,,,,8457120,,
,5,y,n,3.78,,,,y,n,3.44,,,,,,,,,,10204215,,
,6,y,n,4.05,,,,y,n,3.41,,,,,,,,,,9407071,,
,7,y,n,4:20,,,,y,n,3.41,,,,,,,,,,8554678,,
,8,y,n,3.84,,,,y,n,3.44,,,,,,,,,,9380267,,
,9,y,n,3.92,,,,y,n,3.41,,,,,,,,,,12677912,,
,10,y,n,3.85,,,,y,n,3.44,3.429,,,,,,,,,11877790,,
,,,,,,,,,,,,,,,,,,,,9337791,,
bug_type_casting,1,y,n,4.22,,,,y,n,3.38,,,,,,,,,,9116079,,
,2,y,n,3.94,,,,y,n,3.39,,,,,,,,,,7577718,,
,3,y,n,3.89,,,,y,n,3.48,,,,,,,,,,7648201,,
,4,y,n,4.26,,,,y,n,3.21,,,,,,,,,,9412820,,
,5,y,n,3.88,,,,y,n,3.2,,,,,,,,,,9193623,,
,6,y,n,3.94,,,,y,n,3.2,,,,,,,,,,11034587,,
,7,y,n,4.03,,,,y,n,3.18,,,,,,,,,,9578667,,
,8,y,n,3.77,,,,y,n,3.19,,,,,,,,,,8045405,,
,9,y,n,3.99,,,,y,n,3.18,,,,,,,,,,9312320,,
,10,y,n,3.92,,,,y,n,3.24,3.265,,,,,,,,,10413295,,
,,,,,,,,,,,,,,,,,,,,8582801,,
vuln_stack_bof,1,y,n,4.23,,,,y,y,0.17,,,,,,,,,,10169525,,
,2,y,n,4.17,,,,y,y,0.29,,,,,,,,,,9532677,,
,3,y,n,3.9,,,,y,y,0.44,,,,,,,,,,11190384,,
,4,y,n,3.81,,,,y,y,0.29,,,,,,,,,,8522004,,
,5,y,n,4.12,,,,y,y,0.3,,,,,,,,,,10528337,,
,6,y,n,3.9,,,,y,y,0.44,,,,,,,,,,11707936,,
,7,y,n,4.14,,,,y,y,0.3,,,,,,,,,,9359587,,
,8,y,n,4.09,,,,y,y,0.71,,,,,,,,,,9661190,,
,9,y,n,4.14,,,,y,y,0.29,,,,,,,,,,8600319,,
,10,y,n,4.11,,,,y,y,0.15,0.338,,,,,,,,,8085239,,
,,,,,,,,,,,,,,,,,,,,8269324,,
vuln_segfault,1,y,y,0.27,,,,y,y,0.13,9/10,,,,,,,,,9214205,,
,2,y,y,0.26,,,,y,y,0.15,,,,,,,,,,8887879,,
,3,y,y,0.25,,,,y,y,0.13,,,,,,,,,,8758373,,
,4,y,y,0.27,,,,y,y,0.14,,,,,,,,,,8861556,,
,5,y,y,0.25,,,,y,y,0.14,,,,,,,,,,7067482,,
,6,y,y,0.23,,,,y,y,0.14,,,,,,,,,,7268865,,
,7,y,y,0.23,,,,y,n,3.13,,,,,,,,,,9670653,,
,8,y,y,0.24,,,,y,y,2.47,,,,,,,,,,7295299,,
,9,y,y,0.26,,,,y,y,0.38,,,,,,,,,,7254334,,
,10,y,y,0.26,,,,y,y,0.39,0.72,,,,,,,,,10064704,,
,,,,,,,,,,,,,,,,,,,,8290646,,
vuln_fmtstr_crash,1,y,y,0.18,,,,y,y,0.17,,,,,,,,,,9551128,,
,2,y,y,0.16,,,,y,y,0.15,,,,,,,,,,9074908,,
,3,y,y,0.18,,,,y,y,0.16,,,,,,,,,,7760300,,
,4,y,y,0.16,,,,y,y,0.18,,,,,,,,,,9507251,,
,5,y,y,0.15,,,,y,y,0.16,,,,,,,,,,8161945,,
,6,y,y,0.18,,,,y,y,0.15,,,,,,,,,,8600426,,
,7,y,y,0.16,,,,y,y,0.16,,,,,,,,,,8208573,,
,8,y,y,0.17,,,,y,y,0.14,,,,,,,,,,7558311,,
,9,y,y,0.16,,,,y,y,0.17,,,,,,,,,,7541177,,
,10,y,y,0.18,,,,y,y,0.18,0.162,,,,,,,,,6374370,,
,,,,,,,,,,,,,,,,,,,,9446802,,
vuln_dos,1,y,y,0.18,,,,y,y,0.05,9/10,,,,,,,,,7630889,,
,2,y,y,0.18,,,,y,n,3.36,,,,,,,,,,8762293,,
,3,y,y,0.18,,,,y,y,0.36,,,,,,,,,,10537488,,
,4,y,y,0.19,,,,y,y,0.87,,,,,,,,,,8610979,,
,5,y,y,0.18,,,,y,y,0.4,,,,,,,,,,11834850,,
,6,y,y,0.18,,,,y,y,0.22,,,,,,,,,,8621183,,
,7,y,y,0.19,,,,y,y,0.4,,,,,,,,,,8138883,,
,8,y,y,0.18,,,,y,y,0.06,,,,,,,,,,9419873,,
,9,y,y,0.18,,,,y,y,0.06,,,,,,,,,,9706658,,
,10,y,y,0.18,,,,y,y,0.05,0.583,,,,,,,,,8261879,,
,,,,,,,,,,,,,,,,,,,,8296593,,
vuln_fmtstr_leak,1,n,-,,,,,n,-,-,,,,,,,,,,8530963,,
,2,n,-,,,,,n,-,-,,,,,,,,,,8969591,,
,3,n,-,,,,,n,-,-,,,,,,,,,,9423994,,
,4,n,-,,,,,n,-,-,,,,,,,,,,8332958,,
,5,n,-,,,,,n,-,-,,,,,,,,,,10573730,,
,6,n,-,,,,,n,-,-,,,,,,,,,,7602001,,
,7,n,-,,,,,n,-,-,,,,,,,,,,8309525,,
,8,n,-,,,,,n,-,-,,,,,,,,,,9084889,,
,9,n,-,,,,,n,-,-,,,,,,,,,,8195574,,
,10,n,-,,,,,n,-,-,,,,,,,,,,9083914,,
,,,,,,,,,,,,,,,,,,,,8546477,,
vuln_heap_bof,1,y,y,0.05,***requires pre-specified coverage.yml***,,,y,y,0.05,,****,,,,,,,,7458086,,
,2,y,,,,,,y,y,0.04,,,,,,,,,,10259524,,
,3,y,,,,,,y,y,0.04,,,,,,,,,,6987087,,
,4,y,,,,,,y,y,0.04,,,,,,,,,,7266711,,
,5,y,,,,,,y,y,0.05,,,,,,,,,,8456860,,
,6,y,,,,,,y,y,0.05,,,,,,,,,,8044858,,
,7,y,,,,,,y,y,0.04,,,,,,,,,,8398231,,
,8,y,,,,,,y,y,0.05,,,,,,,,,,8367184,,
,9,y,,,,,,y,y,0.05,,,,,,,,,,8379601,,
,10,y,,,,,,y,y,0.05,0.046,,,,,,,,,7822409,,
,,,,,,,,,,,,,,,,,,,,8710273,,
vuln_infinite_loop,1,y,y,0.8,,,,y,y,0.44,8/10,,,,,,,,,8404142,,
,2,y,y,0.83,,,,y,y,0.46,,,,,,,,,,9374956,,
,3,y,y,0.79,,,,y,n,3.36,,,,,,,,,,8433249,,
,4,y,y,0.82,,,,y,y,0.45,,,,,,,,,,8883227,,
,5,y,y,0.83,,,,y,y,0.45,,,,,,,,,,9328965,,
,6,y,y,0.83,,,,y,y,0.15,,,,,,,,,,9265247,,
,7,y,y,0.82,,,,y,y,0.39,,,,,,,,,,8174534,,
,8,y,y,0.84,,,,y,n,3.34,,,,,,,,,,8285833,,
,9,y,y,0.8,,,,y,y,0.13,,,,,,,,,,8204014,,
,10,y,y,0.78,,,,y,y,0.14,0.931,,,,,,,,,7333263,,
,,,,,,,,,,,,,,,,,,,,6928578,,
vuln_uaf,1,y,n,no failing,,,,y,y,0.05,,***,,,,,,,,10334117,,
,2,y,n,no failing,,,,y,y,0.06,,,,,,,,,,8693090,,
,3,y,n,no failing,,,,y,y,0.05,,,,,,,,,,8121568,,
,4,y,n,no failing,,,,y,y,0.05,,,,,,,,,,9273858,,
,5,y,n,no failing,,,,y,y,0.05,,,,,,,,,,7309078,,
,6,y,n,no failing,,,,y,y,0.05,,,,,,,,,,6496349,,
,7,y,n,no failing,,,,y,y,0.05,,,,,,,,,,6234729,,
,8,y,n,no failing,,,,y,y,0.06,,,,,,,,,,7986270,,
,9,y,n,no failing,,,,y,y,0.05,,,,,,,,,,7903168,,
,10,y,n,no failing,,,,y,y,0.05,0.052,,,,,,,,,10166593,,
,,,,,,,,,,,,,,,,,,,,7008173,,
bug_interpolate_half_always,1,y,n,4,,,,y,n,3.11,,,,,,,,,,8582486,,
,2,y,n,4.01,,,,y,n,3.14,,,,,,,,,,9077657,,
,3,y,n,3.91,,,,y,n,3.14,,,,,,,,,,9607198,,
,4,,,,,,,y,n,3.17,,,,,,,,,,7000638,,
,5,,,,,,,y,n,3.14,,,,,,,,,,7044828,,
,6,,,,,,,y,n,3.11,,,,,,,,,,8736012,,
,7,,,,,,,y,n,3.1,,,,,,,,,,6786827,,
,8,,,,,,,y,n,3.13,,,,,,,,,,8924114,,
,9,,,,,,,y,n,3.17,,,,,,,,,,6293565,,
,10,,,,,,,y,n,3.19,3.14,,,,,,,,,8532170,,
,,,,,,,,,,,,,,,,,,,,6806286,,
bug_floating_point,1,y,y,0.15,,,,y,y,0.26,,,,,,,,,,7197037,,
,2,y,y,0.16,,,,y,y,0.24,,,,,,,,,,9549147,,
,3,y,y,0.15,,,,y,y,0.24,,,,,,,,,,7683221,,
,4,y,y,0.16,,,,y,y,0.49,,,,,,,,,,8577232,,
,5,y,y,0.16,,,,y,y,0.23,,,,,,,,,,9657070,,
,6,y,y,0.15,,,,y,y,0.51,,,,,,,,,,8414828,,
,7,y,y,0.16,,,,y,y,0.52,,,,,,,,,,8877551,,
,8,y,y,0.15,,,,y,y,0.25,,,,,,,,,,7566615,,
,9,y,y,0.15,,,,y,y,2.76,,,,,,,,,,12141613,,
